name,firm,address,city,county,phone,website
"Elder Law & Estate Planning Attorneys of Illinois, LLC","Elder Law & Estate Planning Attorneys of Illinois, LLC","85 W Algonquin Rd Suite 405, Arlington Heights, IL 60005",Arlington Heights,Cook,+1 847-253-7500,https://jcslaw.com/
The Law Offices of Mario A. Reed P.C.,The Law Offices of Mario A. Reed P.C.,"625 E 170th St Unit 2NW, South Holland, IL 60473",South Holland,Cook,+1 708-808-0814,http://lawofficesofmarioareed.com/
Dominick R. Villa Attorney at Law,Dominick R. Villa Attorney at Law,"9100 Plainfield Rd, Brookfield, IL 60513",Brookfield,Cook,+1 773-455-0181,https://www.drvattorney.com/
Illinois Estate Law,Illinois Estate Law,"4422 N Ravenswood Ave Suite 212, Chicago, IL 60640",Chicago,Cook,+1 312-373-0731,https://www.illinoisestatelaw.com/
"Peck Ritchey, LLC","Peck Ritchey, LLC","321 S Plymouth Ct 6th Fl, Chicago, IL 60604",Chicago,Cook,+1 872-266-7756,https://www.peckritchey.com/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dchicago
The Probate Pro,The Probate Pro,"1525 E 53rd St Ste 439, Chicago, IL 60615",Chicago,Cook,+1 833-776-2283,https://theprobatepro.com/
Theresa Clancy Law,Theresa Clancy Law,"801 N Euclid Ave, Oak Park, IL 60302",Oak Park,Cook,+1 708-819-1580,http://theresaclancylaw.com/
Chicago Estate Lawyers,Chicago Estate Lawyers,"33 S LaSalle St, Chicago, IL 60603",Chicago,Cook,+1 312-313-7018,https://chicagoestatelawyer.com/
"Estate and Probate Legal Group, Ltd.","Estate and Probate Legal Group, Ltd.","915 Harger Rd Suite 301, Oak Brook, IL 60523",Oak Brook,DuPage,+1 630-687-9100,https://www.estateandprobatelegalgroup.com/%3Futm_source%3DGBP%26utm_medium%3DGBP%26utm_campaign%3DGBP_Oak%2520Brook%26utm_id%3DGBP_Oak%2520Brook
Sable Law Group LLC,Sable Law Group LLC,"11118 S Kedzie Ave, Chicago, IL 60655",Chicago,Cook,+1 312-469-0622,http://www.sablelawgroup.com/
Illinois Estate Law (Martin Ptasinski Law Office),Illinois Estate Law (Martin Ptasinski Law Office),"8517 Archer Ave, Willow Springs, IL 60480",Willow Springs,Cook,+1 708-467-0000,http://ilestatelaw.com/
Nery Richardson & Konewko LLC,Nery Richardson & Konewko LLC,"4258 W 63rd St, Chicago, IL 60629",Chicago,Cook,+1 773-232-6643,https://www.neryrichardsonlaw.com/
Wilson & Wilson Estate Planning & Elder Law LLC,Wilson & Wilson Estate Planning & Elder Law LLC,"1023 W 55th St #200, La Grange, IL 60525",La Grange,Cook,+1 708-482-7090,https://www.lagrangelaw.com/
Kerlin Walsh Law,Kerlin Walsh Law,"11757 SW Hwy, Palos Heights, IL 60463",Palos Heights,Cook,+1 708-448-5169,http://www.kerlinwalshlaw.com/
"Sexauer Law, P.C.","Sexauer Law, P.C.","100 N LaSalle St Ste 2200, Chicago, IL 60602",Chicago,Cook,+1 312-300-4743,https://www.sexauerlaw.com/
"Bradford Miller Law, P.C.","Bradford Miller Law, P.C.","216 S Jefferson St #601, Chicago, IL 60661",Chicago,Cook,+1 312-238-9298,http://www.bradfordmillerlaw.com/
"Law Office Of James J. Morrone Law, P.C.","Law Office Of James J. Morrone Law, P.C.","12820 S Ridgeland Ave, Palos Heights, IL 60463",Palos Heights,Cook,+1 708-897-2349,http://www.morronegroup.com/
"Marshiano Law Group - Wills, Trusts & Estate Planning Attorney in Chicago, IL","Marshiano Law Group - Wills, Trusts & Estate Planning Attorney in Chicago, IL","1236 W Eddy St Suite #1, Chicago, IL 60657",Chicago,Cook,+1 312-965-1111,https://marshianolawgroup.com/%3Futm_source%3Dgmb%26utm_medium%3Dorganic
Ezzi Law LLC,Ezzi Law LLC,"211 W Wacker Dr Ste. 200B, Chicago, IL 60606",Chicago,Cook,+1 312-469-0363,http://www.ezzilaw.com/
"Ladewig and Basch, P.C.","Ladewig and Basch, P.C.","5600 W 127th St, Crestwood, IL 60418",Crestwood,Cook,+1 708-388-0540,http://ladewiglaw.com/
"The Law Offices of Ozinga, Campbell, Lord & Franco","The Law Offices of Ozinga, Campbell, Lord & Franco","11800 S 75th Ave Suite 102, Palos Heights, IL 60463",Palos Heights,Cook,+1 708-422-6050,https://campbell-lord.com/
Attorney Brian Tierney,Attorney Brian Tierney,"6348 S Central Ave, Chicago, IL 60638",Chicago,Cook,+1 773-788-9500,https://tandtlawfirm.com/about/
"Bott & Associates, Ltd.","Bott & Associates, Ltd.","3701 W Algonquin Rd Suite 1070, Rolling Meadows, IL 60008",Rolling Meadows,Cook,+1 847-818-9084,https://bottestateplanning.com/
The Heartland Law Firm,The Heartland Law Firm,"1545 Waukegan Rd Suite 1-3, Glenview, IL 60025",Glenview,Cook,+1 847-729-3300,http://heartlandlawfirm.com/%3Futm_campaign%3Dgmb
The Law Offices of Theodore London & Associates,The Law Offices of Theodore London & Associates,"1718 E 87th St, Chicago, IL 60617",Chicago,Cook,+1 773-721-3333,https://www.tedlondon.org/
"Pestinger Law, LLC - Estate Planning Law & Trusts Attorney","Pestinger Law, LLC - Estate Planning Law & Trusts Attorney","1124 Florence Ave, Evanston, IL 60202",Evanston,Cook,+1 847-884-8400,https://www.pestingerlaw.com/
Gurney Law Group,Gurney Law Group,"150 S Wacker Dr #2400, Chicago, IL 60606",Chicago,Cook,+1 312-929-0974,https://gurneylawgroup.com/
"Christine R Piesiecki, Attorney At Law","Christine R Piesiecki, Attorney At Law","9800 S Roberts Rd, Palos Hills, IL 60465",Palos Hills,Cook,+1 708-233-6833,http://www.polskadwokat.com/
Wolff Legal,Wolff Legal,"900 W Jackson Blvd #5E, Chicago, IL 60607",Chicago,Cook,+1 312-733-3319,https://www.wolff-legal.com/
John Farrell Attorney at Law,John Farrell Attorney at Law,"10610 S Cicero Ave, Oak Lawn, IL 60453",Oak Lawn,Cook,+1 708-499-0998,https://johnfarrellattorney.com/
Mazek Law Group,Mazek Law Group,"3805 N Lincoln Ave, Chicago, IL 60613",Chicago,Cook,+1 773-800-0141,https://www.mazeklaw.com/contact-us
"Dutton Casey & Mesoloras, PC","Dutton Casey & Mesoloras, PC","17 N State St Suite 890, Chicago, IL 60602",Chicago,Cook,+1 312-899-0950,http://www.duttonelderlaw.com/
"Otte & Czajkowska, LLC","Otte & Czajkowska, LLC","6035 N Northwest Hwy #201, Chicago, IL 60631",Chicago,Cook,+1 773-631-7100,https://www.oclawyergroup.com/%3Futm_source%3Dgoogle%26utm_medium%3DChicago_gmb%26utm_campaign%3Dgmb_website_button
"Robert L. Kealy, Attorney & Counselor","Robert L. Kealy, Attorney & Counselor","2700 Patriot Blvd #250, Glenview, IL 60026",Glenview,Cook,+1 847-494-4433,http://kealylaw.com/
"Fournier Law Firm, Ltd.","Fournier Law Firm, Ltd.","2001 Midwest Rd #206, Oak Brook, IL 60523",Oak Brook,DuPage,+1 630-792-1000,https://www.fournierlawfirmltd.com/
Garces Law,Garces Law,"579 N 1st Bank Dr #240, Palatine, IL 60067",Palatine,Cook,+1 773-373-9592,http://www.garceslawfirm.com/
Ross Law Firm Ltd.,Ross Law Firm Ltd.,"1622 W Colonial Pkwy #201, Palatine, IL 60067",Palatine,Cook,+1 847-358-5757,https://robertjross.com/
"Law Office of Michael T. Huguelet, P.C.","Law Office of Michael T. Huguelet, P.C.","10723 W 159th St, Orland Park, IL 60467",Orland Park,Cook,+1 708-364-7280,http://hugueletlaw.com/
Zarzecki M Charles,Zarzecki M Charles,"7480 W College Dr #101, Palos Heights, IL 60463",Palos Heights,Cook,+1 708-361-7766,https://www.zarzeckilaw.com/
"Edelson Law, LLC","Edelson Law, LLC","8401 Crawford Ave #104, Skokie, IL 60076",Skokie,Cook,+1 847-410-9131,https://edelsonlawllc.com/
Tannehill Law LLC,Tannehill Law LLC,"17 E Monroe St Ste 230, Chicago, IL 60603",Chicago,Cook,+1 312-965-8204,http://www.tannehilllaw.com/
Katrina Cox Law LLC,Katrina Cox Law LLC,"8200 185th St h17, Tinley Park, IL 60487",Tinley Park,Cook,+1 708-942-5261,http://katrinacoxlaw.com/
"The Law Office of Dionna Reynolds, LLC","The Law Office of Dionna Reynolds, LLC","10730 W 143rd St Suite 34, Orland Park, IL 60462",Orland Park,Cook,+1 833-878-7837,http://www.attyreynolds.com/
"Reda & Des Jardins, LLC - Law Firm","Reda & Des Jardins, LLC - Law Firm","736 N Western Ave Suite 353, Lake Forest, IL 60045",Lake Forest,Lake,+1 877-809-4567,http://www.rdlawyers.com/
"Law Office of Lisa L. Glenn, LLC","Law Office of Lisa L. Glenn, LLC","600 Holiday Plaza Dr Ste 188, Matteson, IL 60443",Matteson,Cook,+1 708-833-8406,https://lglennlaw.com/
Tuohy Law Offices,Tuohy Law Offices,"17W220 W 22nd St Suite 510, Oakbrook Terrace, IL 60181",Oakbrook Terrace,DuPage,+1 312-559-8400,https://tuohylawoffices.com/
North Shore Estate Planning,North Shore Estate Planning,"1849 Green Bay Rd Ste. 109A, Highland Park, IL 60035",Highland Park,Lake,+1 847-860-6708,https://www.northshore-ep.com/%3Fnpcmp%3Ddir:local:5250190:60035
Magnolia Law LLC,Magnolia Law LLC,"2860 S River Rd Ste 220, Des Plaines, IL 60018",Des Plaines,Cook,,http://www.magnolialawllc.com/
Gilbert Law Group,Gilbert Law Group,"181 W Madison St Suite 4700, Chicago, IL 60602",Chicago,Cook,+1 312-847-5313,http://www.gilbertlg.com/
Schottler & Associates,Schottler & Associates,"7222 Cermak Rd Ste 701, Riverside, IL 60546",Riverside,Cook,+1 708-442-5599,http://www.schottlerlaw.com/
"Dynasty Law, LLC","Dynasty Law, LLC","875 Michigan Ave 31st Floor, Chicago, IL 60611",Chicago,Cook,+1 312-248-4304,https://www.dynastyfirm.com/
NTegrity Law,NTegrity Law,"3601 Algonquin Rd Suite 860, Rolling Meadows, IL 60008",Rolling Meadows,Cook,+1 847-737-1800,https://www.ntegritylaw.com/
Hawbecker & Garver LLC,Hawbecker & Garver LLC,"26 Blaine St, Hinsdale, IL 60521",Hinsdale,DuPage,+1 630-789-6833,https://www.hglegal.com/
Law Office of Mayra Prado-Pagan,Law Office of Mayra Prado-Pagan,"505 N Riverside Dr Ste 202, Gurnee, IL 60031",Gurnee,Lake,+1 847-707-3236,https://mpplawyer.com/
Sebastian Kos Law Office,Sebastian Kos Law Office,"119 S Vine St, Hinsdale, IL 60521",Hinsdale,DuPage,+1 630-709-1148,https://www.skoslaw.com/
"Windy City Legal, LLC","Windy City Legal, LLC","150 S Wacker Dr #2400, Chicago, IL 60606",Chicago,Cook,+1 312-278-1187,https://www.windycitylegal.com/
Probate Stoppers,Probate Stoppers,"6239 Park Ave, Morton Grove, IL 60053",Morton Grove,Cook,+1 312-899-6111,https://www.probatestoppers.com/
"Evans Legacy Law Group, LLC","Evans Legacy Law Group, LLC","100 Saunders Rd Suite 150, Lake Forest, IL 60045",Lake Forest,Lake,+1 872-228-1572,https://www.evanslegacylaw.com/
"Ryan Law Group, Ltd.","Ryan Law Group, Ltd.","2661 N Lincoln Ave, Chicago, IL 60614",Chicago,Cook,+1 630-330-4017,http://dsryanlaw.com/
The Law Office of Nicole M Soltanzadeh LLC,The Law Office of Nicole M Soltanzadeh LLC,"20 N Clark St Suite 3300, Chicago, IL 60602",Chicago,Cook,+1 773-917-4466,http://www.soltanzadehlaw.com/
Law Office of Farrell & Farrell,Law Office of Farrell & Farrell,"4550 103rd St #202, Oak Lawn, IL 60453",Oak Lawn,Cook,+1 708-448-2500,http://www.farrellduhig.com/
Robert J Huguelet Jr PC,Robert J Huguelet Jr PC,"10749 Winterset Dr, Orland Park, IL 60467",Orland Park,Cook,+1 708-226-9500,http://rjhugueletlaw.com/
"Kumor Law, LLC","Kumor Law, LLC","7642 W Belmont Ave, Chicago, IL 60634",Chicago,Cook,+1 773-625-2200,http://www.kumorlawllc.com/
Whitacre & Stefanczuk LTD.,Whitacre & Stefanczuk LTD.,"900 Jorie Blvd Suite 200, Oak Brook, IL 60523",Oak Brook,DuPage,+1 773-622-6100,https://www.wshlaw.net/%3Futm_source%3Dgoogle%26utm_medium%3DOak_Brook_gmb%26utm_campaign%3Dgmb_website_button
The Law Office Of Margaret Szymansky,The Law Office Of Margaret Szymansky,"444 N Northwest Hwy #210, Park Ridge, IL 60068",Park Ridge,Cook,+1 847-696-9110,http://margaretszymanskylaw.com/
Peoples Advocate Group P.C.,Peoples Advocate Group P.C.,"336 Lathrop Ave #101, Forest Park, IL 60130",Forest Park,Cook,+1 800-595-8515,https://pagillinois.com/
Ranjha Law Group,Ranjha Law Group,"903 Commerce Dr Suite 210, Oak Brook, IL 60523",Oak Brook,DuPage,+1 331-233-1774,https://www.ranjhalaw.com/
Evermore Law Group (formerly Law Office of Meghan Stokes LLC),Evermore Law Group (formerly Law Office of Meghan Stokes LLC),"4849 N Milwaukee Ave Suite 700, Chicago, IL 60630",Chicago,Cook,+1 312-890-9581,https://evermorelawgroup.com/
"Law Office of Constantine G. Tzamouranis, PC","Law Office of Constantine G. Tzamouranis, PC","9 IL-19, Roselle, IL 60172",Roselle,DuPage,+1 630-539-0900,http://cgtlawfirm.com/
Zivkovich Law Offices LLC,Zivkovich Law Offices LLC,"8130 N Milwaukee Ave, Niles, IL 60714",Niles,Cook,+1 708-833-7755,http://www.serblaw.com/
Law Offices of Stephen Sutera,Law Offices of Stephen Sutera,"4927 95th St, Oak Lawn, IL 60453",Oak Lawn,Cook,+1 708-857-7255,http://www.suteralaw.com/
"Floss Law, LLC","Floss Law, LLC","1200 Shermer Rd #206, Northbrook, IL 60062",Northbrook,Cook,+1 224-326-2903,http://flosslaw.com/
"Sutton Law, LLC","Sutton Law, LLC","333 S Wabash Ave UNIT 2700, Chicago, IL 60604",Chicago,Cook,+1 773-340-2678,http://www.suttonlegalgroup.com/
Chie Law,Chie Law,"2454 E Dempster St #310, Des Plaines, IL 60016",Des Plaines,Cook,+1 847-257-0411,http://chielaw.com/
Cook County Probate Division,Cook County Probate Division,"50 W Washington St # 1202, Chicago, IL 60602",Chicago,Cook,+1 312-603-6441,https://www.cookcountycourt.org/division/probate-division
"Younis Law Group, P.C.","Younis Law Group, P.C.","7110 W 127th St Suite #240, Palos Heights, IL 60463",Palos Heights,Cook,+1 847-423-6312,http://www.younislawgroup.com/%3Futm_campaign%3Dgmb
"Bielski Chapman, Ltd.","Bielski Chapman, Ltd.","123 N Wacker Dr #2300, Chicago, IL 60606",Chicago,Cook,+1 312-583-9430,https://bc-lawyers.com/
"Kravets Law Group, P.C.","Kravets Law Group, P.C.","211 W Wacker Dr STE 300, Chicago, IL 60606",Chicago,Cook,+1 312-548-6226,https://www.kravetslawgroup.com/
"Palos Elder Law, Ltd.","Palos Elder Law, Ltd.","6446 W 127th St #201, Palos Heights, IL 60463",Palos Heights,Cook,+1 708-371-9500,http://www.paloselderlaw.com/
Erwin Law LLC,Erwin Law LLC,"4043 N Ravenswood Ave # 208, Chicago, IL 60613",Chicago,Cook,+1 773-525-0153,http://www.erwinlawfirm.com/
"Pucher & Ranucci, P.C.","Pucher & Ranucci, P.C.","14496 John Humphrey Dr, Orland Park, IL 60462",Orland Park,Cook,+1 815-782-3799,http://pucherranucci.com/
Capraro Law,Capraro Law,"1010 Lake St #501a, Oak Park, IL 60301",Oak Park,Cook,+1 708-383-6551,https://www.stewart-caprarolaw.com/
Iversen Law,Iversen Law,"119 S Emerson St #262, Mt Prospect, IL 60056",Mt Prospect,Cook,+1 312-377-0068,http://www.iversenchicagolaw.com/
"Mohammed, Shamaileh & Tabahi, LLC","Mohammed, Shamaileh & Tabahi, LLC","2040 N Harlem Ave Suite 103, Elmwood Park, IL 60707",Elmwood Park,Cook,+1 847-916-7800,https://www.mstlawfirm.com/
The Law Office of Kate Curler,The Law Office of Kate Curler,"323 E Wacker Dr #238, Chicago, IL 60601",Chicago,Cook,+1 312-952-1077,http://www.curlerlaw.com/
Salerno Law Group,Salerno Law Group,"22 Calendar Ave STE D, La Grange, IL 60525",La Grange,Cook,+1 708-588-2080,https://www.salernolawgroup.com/
Alexander | Grossman Attorneys at Law,Alexander | Grossman Attorneys at Law,"9150 N Crawford Ave Suite 106, Skokie, IL 60076",Skokie,Cook,+1 312-346-8822,https://www.alexandergrossman.com/%3Futm_source%3Dgoogle-local%26utm_medium%3Dorganic%26utm_campaign%3D3910
